Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU Digi-Key,Packaging Digi-Key,Unit Price (@ Batch Size: 1) Digi-Key,In Stock Digi-Key,MOQ Digi-Key,URL Digi-Key
1,RSF2JT22K0,Stackpole Electronics,RSF2JT22K0,https://octopart.com/rsf2jt22k0-stackpole+electronics-19229036,R4,,,1,RSF2JT22K0CT-ND,Cut Tape,0.25598416,235,1,https://octopart.com/click/track?ai=8237&sig=01b0bfe&sid=459&ppid=19229036&vpid=34426163&ct=offers
1,RNF14FTD15R0,Stackpole Electronics,RNF14FTD15R0,https://octopart.com/rnf14ftd15r0-stackpole+electronics-19224685,R5,,,1,RNF14FTD15R0CT-ND,Cut Tape,0.0882704,5234,1,https://octopart.com/click/track?ai=8237&sig=079f974&sid=459&ppid=19224685&vpid=34425543&ct=offers
1,RSF2JT1K00,Stackpole Electronics,RSF2JT1K00,https://octopart.com/rsf2jt1k00-stackpole+electronics-19229020,R6,,,1,RSF2JT1K00CT-ND,Cut Tape,0.25598416,13177,1,https://octopart.com/click/track?ai=8237&sig=0a3ce56&sid=459&ppid=19229020&vpid=34426156&ct=offers
1,CF12JT22R0,Stackpole Electronics,CF12JT22R0,https://octopart.com/cf12jt22r0-stackpole+electronics-19205143,R7,,,1,CF12JT22R0CT-ND,Cut Tape,0.0882704,1784,1,https://octopart.com/click/track?ai=8237&sig=01fd715&sid=459&ppid=19205143&vpid=34418581&ct=offers
1,RNF14FTD68R1,Stackpole Electronics,RNF14FTD68R1,https://octopart.com/rnf14ftd68r1-stackpole+electronics-19225048,R8,,,1,RNF14FTD68R1CT-ND,Cut Tape,0.0882704,10823,1,https://octopart.com/click/track?ai=8237&sig=0b886fc&sid=459&ppid=19225048&vpid=34425897&ct=offers
1,RNF14FTD1K00,Stackpole Electronics,RNF14FTD1K00,https://octopart.com/rnf14ftd1k00-stackpole+electronics-19224710,R9,,,1,RNF14FTD1K00CT-ND,Cut Tape,0.0882704,241044,1,https://octopart.com/click/track?ai=8237&sig=0acb722&sid=459&ppid=19224710&vpid=34425569&ct=offers
1,CVP 53-001,Cramer Magnetics,,,T1,,,1,,,,,,
1,VIPER53EDIP-E,STMicroelectronics,VIPER53EDIP-E,https://octopart.com/viper53edip-e-stmicroelectronics-715063,U1,,,1,497-6172-5-ND,Tube,2.2508952,1236,1,https://octopart.com/click/track?ai=8237&sig=038e197&sid=459&ppid=715063&vpid=33594106&ct=offers
1,LTV-817,Lite-On,LTV-817,https://octopart.com/ltv-817-lite-on-704239,U2,,,1,160-1366-5-ND,Tube,0.36190864,7406,1,https://octopart.com/click/track?ai=8237&sig=04c1f1d&sid=459&ppid=704239&vpid=1573651&ct=offers
1,TL431CLPRE3,Texas Instruments,TL431CLPRE3,https://octopart.com/tl431clpre3-texas+instruments-723235,U3,,,1,296-50402-1-ND,Cut Tape,0.3089464,6695,1,https://octopart.com/click/track?ai=8237&sig=0acfd5b&sid=459&ppid=723235&vpid=507250097&ct=offers
1,B72214S2271K151,EPCOS,B72214S2271K151,https://octopart.com/b72214s2271k151-epcos-25520944,VAR1,,,1,495-76216-1-ND,Cut Tape,0.54727648,48183,1,https://octopart.com/click/track?ai=8237&sig=0af88f5&sid=459&ppid=25520944&vpid=600668025&ct=offers
