Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","R_0805_2012Metric","R_0805_2012Metric",-27.000000,51.000000,90.000000,bottom
"REF**","R_0805_2012Metric","R_0805_2012Metric",-11.000000,51.000000,90.000000,bottom
